pair,role_a,role_b,track,mfcc_l2,mfcc_mae,mfcc_pearsonr,mfcc_frame_l2,cosine_similarity,centroid_diff,rolloff_diff,bandwidth_diff,chroma_cosine,chroma_pearsonr,mel_l1,mel_l2,rms_db_diff,tempo_diff,mfcc_band_0_mae,mfcc_band_1_mae,mfcc_band_2_mae,mfcc_band_3_mae,mfcc_band_4_mae,mfcc_band_5_mae,mfcc_band_6_mae,mfcc_band_7_mae,mfcc_band_8_mae,mfcc_band_9_mae,mfcc_band_10_mae,mfcc_band_11_mae,mfcc_band_12_mae
model_vs_target,model,target,02035_Spowder_Miracle_Grow_instrumental_chunk001_2000ms,553.8267822265625,59.10398483276367,0.8452227368571976,141.0862274169922,0.8875063106049597,267.4392849920448,1241.100901029748,855.876175457598,0.9917984917574297,0.7270020188747165,20.6590633392334,24.4344539642334,30.217000338726855,11.59315023678964,544.2518310546875,72.46977996826172,63.28532409667969,13.032684326171875,17.386287689208984,12.07958984375,20.247432708740234,5.634858131408691,0.038635969161987305,7.723610877990723,11.729787826538086,0.1612645983695984,0.3107588291168213
model_vs_target,model,target,02035_Spowder_Miracle_Grow_instrumental_chunk002_4000ms,574.6388549804688,61.657981872558594,0.8400322889250871,146.91392517089844,0.8817407633556584,75.83164604087915,561.1911401322332,721.3607014703653,0.9943916473744298,0.5937496146243298,21.700532913208008,25.39652442932129,30.526116079360378,20.073324947033896,566.068359375,61.719871520996094,63.90892028808594,18.792959213256836,26.59880828857422,13.557332038879395,20.200305938720703,8.602316856384277,2.06801438331604,6.426985740661621,9.981724739074707,3.307340145111084,0.32088810205459595
model_vs_target,model,target,02035_Spowder_Miracle_Grow_instrumental_chunk003_6000ms,599.6085205078125,64.07173156738281,0.8270489920390034,156.08590698242188,0.8724929711948436,124.83220888620417,486.3678802560062,780.0069126786389,0.9931145433804847,0.7418809024490305,23.02277183532715,26.81884765625,32.49768683305588,3.296949760765557,591.083251953125,58.41661834716797,64.90533447265625,25.4586238861084,31.60154151916504,12.704431533813477,22.965604782104492,7.105740070343018,1.4411370754241943,5.240725994110107,10.40196418762207,0.26848649978637695,1.3389891386032104
model_vs_target,model,target,02035_Spowder_Miracle_Grow_instrumental_chunk004_8000ms,574.6927490234375,61.958499908447266,0.8232900222214077,145.137939453125,0.8748722681185988,53.60461555691836,290.8789174234835,527.6335068679,0.9892719494820227,0.6935777732449551,20.832944869995117,24.462825775146484,29.87814085475354,6.600215517241381,566.155029296875,49.612083435058594,70.88719177246094,23.76524543762207,27.408550262451172,11.727510452270508,22.27766990661621,8.815607070922852,1.4957705736160278,5.57484769821167,13.471880912780762,1.0432674884796143,3.2258505821228027
model_vs_target,model,target,02035_Spowder_Miracle_Grow_instrumental_chunk005_10000ms,585.63525390625,60.116188049316406,0.8272974553213529,145.3250732421875,0.8731586773599164,178.1332254149513,658.3232374698068,895.9571754666899,0.992788005119311,0.3346060179766831,17.89714241027832,21.357770919799805,32.67221130341475,0.0,576.8128051757812,63.095726013183594,72.44422912597656,17.356962203979492,21.11744499206543,3.568148612976074,14.56283950805664,0.24132490158081055,1.8379497528076172,4.416994571685791,5.594793796539307,0.1073145866394043,0.35395902395248413
model_vs_target,model,target,02035_Spowder_Miracle_Grow_instrumental_chunk006_12000ms,588.5702514648438,62.07197570800781,0.8242183932644775,148.37979125976562,0.8715087132035275,683.5580529265642,1877.5741021922995,1620.235077223802,0.9940066371384367,-0.07708748070443042,18.096927642822266,22.173803329467773,34.49323800820662,29.083806818181813,577.3258056640625,81.09001159667969,75.30419158935547,9.194572448730469,20.676071166992188,3.2784318923950195,13.869418144226074,8.436613082885742,3.6857786178588867,3.565955400466919,2.9772145748138428,1.1506009101867676,6.380921840667725
model_vs_target,model,target,02035_Spowder_Miracle_Grow_instrumental_chunk007_14000ms,637.3795166015625,65.91828918457031,0.7948659062549608,160.93540954589844,0.8509087349293712,173.61502595286834,25.59751330893232,744.1370529064643,0.9972943243461536,0.8263112504795241,19.820207595825195,23.64303970336914,35.959806447087516,13.702947443181813,629.5860595703125,54.924705505371094,71.20376586914062,10.568675994873047,31.80491828918457,7.379766464233398,19.059085845947266,2.3048171997070312,2.7432684898376465,8.939448356628418,1.3055779933929443,10.207024574279785,6.910632133483887
model_vs_target,model,target,02035_Spowder_Miracle_Grow_instrumental_chunk008_16000ms,648.031982421875,68.0667724609375,0.7385990712761736,162.54876708984375,0.8285831627665087,384.07331750349726,206.9489056131115,418.9637428190081,0.9961786896581137,0.8940075859866963,21.646984100341797,24.937606811523438,33.896430252146814,89.10290948275862,639.3727416992188,38.005279541015625,82.84707641601562,17.30695915222168,42.3263053894043,6.917672157287598,17.800800323486328,8.385526657104492,6.911432266235352,10.229310989379883,1.3924734592437744,12.604959487915039,0.7674819827079773
model_vs_target,model,target,02035_Spowder_Miracle_Grow_instrumental_chunk009_18000ms,653.6986083984375,68.11885833740234,0.7251331167919127,164.12738037109375,0.8223823303075263,58.83147357154303,708.9998043978321,792.2294544916017,0.9961893459339474,0.8866508236741214,21.354841232299805,24.85569190979004,33.9448696066879,72.39611395474138,644.1237182617188,45.182411193847656,88.6405029296875,18.729713439941406,40.40141296386719,0.4919452667236328,17.880634307861328,6.707026481628418,3.133625030517578,6.166332244873047,0.9124312400817871,11.30146598815918,1.8739464282989502
model_vs_target,model,target,02035_Spowder_Miracle_Grow_instrumental_chunk010_20000ms,679.5530395507812,70.71507263183594,0.7041816054559515,173.0725860595703,0.8124651518519894,46.87233555591774,909.2462343356001,1070.3694568428127,0.9929442008064889,0.3498238244566227,22.70435333251953,26.309722900390625,37.994685997526055,36.26644736842105,670.0523681640625,58.980201721191406,83.494140625,15.298559188842773,38.46352767944336,3.3770008087158203,21.046142578125,3.406935691833496,2.9840474128723145,6.141934394836426,1.5451719760894775,11.64513111114502,2.8607325553894043
